id, length, width
0,451.40421533809365,63.340350488452465
1,418.2134809221243,65.664608582649
2,425.3475049885681,61.470928485163824
3,440.58302991604205,60.56462844557044
4,393.0504500061029,56.577948080364095
5,356.4186990920931,51.68354872669228
6,387.05430013113147,57.90259449470939
7,431.66241149768877,61.99985036524282
8,387.03560882688816,51.10155712524815
9,454.0440507263585,61.62349254938716
10,446.345718025837,58.64653872059501
11,446.1183629374608,66.16980331762933
12,439.8668477505437,66.6988626683394
13,409.55812697955344,58.136633580406944
14,463.30935939175674,66.90550924975274
15,433.3598028774704,64.18802108478847
16,431.1166641699205,61.23049753288797
17,473.13977850102606,68.81138239896252
18,426.0204293810333,61.450429399943985
19,437.5741722839683,60.90312331635792
20,418.0762490264186,60.15002199903484
21,410.30095661599427,57.94699726635971
22,397.0717425730519,58.51041573942199
23,389.4944038429821,56.12308164176972
24,470.27237785670553,68.42023183971244
25,462.7336909605783,69.22538766142809
26,408.2368338354588,60.039244977764334
27,427.2703330445492,59.80859362243648
28,425.6727029068225,61.571818774399546
29,420.76206904853007,63.02386506998262
30,444.3036510934836,61.35976492745979
31,387.6442070378455,56.789478971681014
32,397.73790050735676,56.788434293712044
33,356.24937499945173,54.26082436294969
34,432.40894995362896,64.18217860731474
35,409.23724781598264,52.986752563877936
36,405.3491357768017,63.01318415183544
37,449.76525127003754,61.342735122781654
38,414.5730672933301,59.47097711607423
39,386.97658197880656,59.0162393236493
40,390.4841145936669,56.60182722936712
41,369.62656408191225,57.020298606066596
42,467.61906906155997,63.01260492081128
43,449.4801685002354,63.968043932351485
44,398.23053938642124,55.444248549922875
45,416.06488000671243,63.126152526607385
46,403.8576675327584,56.59421805783807
